F0-32 PIN,F0-48 PIN,P0-64 PIN,F4-100 PIN,F4-144 PIN,Nucleo,FMC,FMC function,DCMI,LCD,Arduino PWM,ELL-i external function,Ell-i conn. pin,ELL-i name,JTAG,Ard,ELL,DIP,MEM,DDR2,XO2 32,XO2 32 PIN,XO2 256 I/O,XO2 32 BANK,XO2 144,XO2 144 PIN,XO2 4000 I/O,XO2 144 BANK
,,,PE11,PE11,,FMC_D 8,,,LCD_G3,,MEM ADDR / DATA 8,,MEM_D8,,,,,1,,,,,,1,11,PL8A,5
,,,PE12,PE12,,FMC_D 9,,,LCD_B4,,MEM ADDR / DATA 9,,MEM_D9,,,,,1,,,,,,1,12,PL8B,5
,,,PE13,PE13,,FMC_D10,,,LCD_DE),,MEM ADDR / DATA10,,MEM_D10,,,,,1,,,,,,1,20,PL10D PCLKC4_0,4
,,,PE14,PE14,,FMC_D11,,,LCD_CLK),,MEM ADDR / DATA11,,MEM_D11,,,,,1,,,,,,1,19,PL10C PCLKT4_0,4
,,,PE15,PE15,,FMC_D12,,,LCD_R7)++,,MEM ADDR / DATA12,,MEM_D12,,,,,1,,,,,,1,15,PL10A,4
,,,PD 8,PD 8,,FMC_D13,,,,,MEM ADDR / DATA13,,MEM_D13,,,,,1,,,,,,1,17,PL10B,4
,,,PD 9,PD 9,,FMC_D14,,,,,MEM ADDR / DATA14,,MEM_D14,,,,,1,,,,,,1,13,PL9A,4
,,,PD10,PD10,,FMC_D15,,,LCD_B3),,MEM ADDR / DATA15,,MEM_D15,,,,,1,,,,,,1,14,PL9B,4
,,,,PF 0,,FMC_A 0,,,,,MEM ADDR 0,,MEM_A0,,,,,1,,,,,,,,,
,,,,PF 1,,FMC_A 1,,,,,MEM ADDR 1,,MEM_A1,,,,,1,,,,,,,,,
,,,,PF 2,,FMC_A 2,,,,,MEM ADDR 2,,MEM_A2,,,,,1,,,,,,,,,
,,,,PF 3,,FMC_A 3,,,,,MEM ADDR 3,,MEM_A3,,,,,1,,,,,,,,,
,,,,PF 4,,FMC_A 4,,,,,MEM ADDR 4,,MEM_A4,,,,,1,,,,,,,,,
,,,,PF 5,,FMC_A 5,,,,,MEM ADDR 5,,MEM_A5,,,,,1,,,,,,,,,
,,,,PF12,,FMC_A 6,,,,,MEM ADDR 6,,MEM_A6,,,,,1,,,,,,,,,
,,,,PF13,,FMC_A 7,,,,,MEM ADDR 7,,MEM_A7,,,,,1,,,,,,,,,
,,,,PF14,,FMC_A 8,,,,,MEM ADDR 8,,MEM_A8,,,,,1,,,,,,,,,
,,,,PF15,,FMC_A 9,,,,,MEM ADDR 9,,MEM_A9,,,,,1,,,,,,,,,
,,,,PG 0,,FMC_A10,,,,,MEM ADDR10,,MEM_A10,,,,,1,,,,,,,,,
,,,,PG 1,,FMC_A11,,,,,MEM ADDR11,,MEM_A11,,,,,1,,,,,,,,,
,,,,PG 2,,FMC_A12,,,,,MEM ADDR12,,MEM_A12,,,,,1,,,,,,,,,
,,,,PG 3,,FMC_A13,,,,,MEM ADDR13,,MEM_A13,,,,,1,,,,,,,,,
,,,,PG 4,,FMC_A14,,,,,MEM ADDR14,,MEM_A14,,,,,1,,,,,,,,,
,,,,PG 5,,FMC_A15,,,,,MEM ADDR15,,MEM_A15,,,,,1,,,,,,,,,
,,,PD11,PD11,,FMC_A16,,,,,MEM ADDR16,,MEM_A16,,,,,1,,,,,,1,21,PL13A,4
,,,PD12,PD12,,FMC_A17,,,,,MEM ADDR17,,MEM_A17,,,,,1,,,,,,1,22,PL13B,4
,,,PD13,PD13,,FMC_A18,,,,,MEM ADDR18,,MEM_A18,,,,,1,,,,,,1,23,PL14A,4
,,,PE 3,PE 3,,FMC_A19,,,,,MEM ADDR19,,MEM_A19,,,,,1,,,,,,1,24,PL14B,4
,,,PE 4,PE 4,,FMC_A20,,DCMI_D 4,LCD_B0,,MEM ADDR20,,MEM_A20,,,,,1,,,,,,1,41,PB4B,2
,,,PE 5,PE 5,,FMC_A21,,DCMI_D 6),LCD_G0,,MEM ADDR21,,MEM_A21,,,,,1,,,,,,1,42,PB7A,2
,,,PE 6,PE 6,,FMC_A22,,DCMI_D 7),LCD_G1,,MEM ADDR22,,MEM_A22,,,,,1,,,,,,1,61,PB24A,2
,,,PE 2,PE 2,,FMC_A23,,,,,MEM ADDR23,,MEM_A23,,,,,1,,,,,,1,62,PB24B,2
,,,PD 7,PD 7,,FMC_NE1/NCE2,Chip select,,,,MEM CHIP SELECT 1,,MEM_CS1,,,,,1,,,,,,1,50,PB13B,2
,,,,PG 9,,FMC_NE2/NCE3,Chip select,,,,MEM CHIP SELECT 2,,MEM_CS2,,,,,1,,,,,,,,,
,,,,PG10,,FMC_NE3/NCE4_1,Chip select,DCMI_D 2),LCD_B2)--,,MEM CHIP SELECT 3,,MEM_CS3,,,,,1,,,,,,,,,
,,,,PG12,,FMC_NE4,Chip select,,LCD_B1,,MEM CHIP SELECT 4,,MEM_CS4,,,,,1,,,,,,1,63,PB24D,2
—,—,—,PC 0,PC 0,,FMC_SDNWE,SDRAM,,,,MEM CTRL SDRAM,,MEM_SDWNE,,,,,1,,,,,,,,,
